1,BIA-Hikaduwa-Galle,,,,,,,,,
,,Departure,,Departure,,Departure,,Total Travel Hours,Price,Discount >=4 Tickets
12,Hambantota-Udawalawa-Hatton-Nuwaraeliya,,,,,,,,,
,,Departure,,Departure,,Departure,,Total Travel Hours,Price,Discount >=4 Tickets
,Hambantota,800,08:00,1200,12:00,2400,00:00,8 Hours,2500/17,2000/14
,Udawalawa,945,09:45,1345,13:45,145,01:45,,2500/17,
,Hatton,1415,14:15,1815,18:15,615,06:15,,2500/17,
,Nuwaraeliya,,,,,,,,2500/17,
,,,,,,,,,,
13,Galle-Mirrisa-Hatton-Nuwaraeliya,,,,,,,,,
,,Departure,,Departure,,Departure,,Total Travel Hours,Price,Discount >=4 Tickets
,Galle,800,08:00,1200,12:00,2200,22:00,9 Hours 45 Mins,2500/17,2000/14
,Mirrisa,930,09:30,1330,13:30,2330,23:30,,2500/17,
,Hatton,1615,16:15,2015,20:15,615,06:15,,2500/17,
,Nuwaraeliya,,,,,,,,2500/17,
,,,,,,,,,,
14,Nuwaraeliya-Hatton-Mirrisa-Galle,,,,,,,,,
,,Departure,,Departure,,Departure,,Total Travel Hours,Price,Discount >=4 Tickets
,Nuwaraeliya,800,08:00,1200,12:00,2200,22:00,9 Hours 45 Mins,2500/17,2000/14
,Hatton,945,09:45,1345,13:45,2345,23:45,,2500/17,
,Mirissa,1630,16:30,2030,20:30,630,06:30,,2500/17,
,Galle,,,,,,,,2500/17,
